Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
0.0029966,0.264,-1.227,0.19552999999999998,0.12130999999999999,-1.4374,0.40346,0.20455,0.0023225000000000003,4.8366,0.11780999999999998,0.0039727
-2.6747,0.80808,2.5344,-0.33488,0.19589,0.35038,0.12299000000000002,0.29772,0.016418000000000002,4.4646,0.08088,0.020553000000000002
2.7565,1.4502,-1.8263,0.1825,0.48396000000000006,0.17228,0.07701799999999999,0.24579,0.019837,5.4348,0.14290999999999998,0.023959
0.17115,-1.4768,-0.3049,0.030697000000000002,-0.80067,-1.6565,0.17881,0.44565,0.012853999999999999,2.9411,0.27848,0.020756
-2.6116,-0.25075,-0.65691,-1.0671,1.5212,1.3103,0.038014,0.10332000000000001,0.01994,3.7403,0.44576000000000005,0.024161000000000002
-3.1394,0.08526399999999999,1.715,0.62278,0.19773,0.95988,0.069819,0.22883,0.014646000000000001,4.5792,0.17515,0.026242
-0.47483000000000003,0.031498000000000005,2.5903,-0.028506,-0.7602,-0.97383,0.13207,0.25127,0.019262,5.3009,0.1694,0.015606
-2.1495,0.89461,-2.8765,0.4008,0.098419,-0.60646,0.20445,0.28405,0.0032241,4.6242,0.08392899999999999,0.004036400000000001
-3.1387,0.94126,0.51157,0.065789,-0.07913099999999999,0.27363000000000004,0.10305,0.2307,0.019536,4.7805,0.080738,0.017079
-0.72715,0.50598,0.21919,1.1259,0.076206,-0.33157,0.080425,0.49021000000000003,0.015634000000000002,0.53565,0.11793,0.049966
-1.8815,-0.23453000000000002,-1.2209999999999999,0.39371,-0.58413,-0.86739,0.14336,0.29418,0.0061817,5.2612,0.098661,0.015066
-2.0014,0.57738,0.4944,0.9820200000000001,-0.1616,-0.27662,0.057071000000000004,0.10917,0.007279099999999999,5.3255,0.18962,0.014413999999999998
2.0739,-0.46501000000000003,-1.55,-0.26000999999999996,-0.056139999999999995,0.021969,0.036808999999999995,0.45695,0.019734,0.035125,0.01038,0.20709
2.0983,-0.045406999999999996,0.61603,0.18149,0.48155,0.37977,0.1066,0.28014,0.009398,3.5866,0.1067,0.022726
1.4497,0.71362,1.7365,1.3171,-1.0884,-0.86706,0.12947,0.49723,0.011564,2.1166,0.33166,0.032164
1.7257,-0.91345,2.1347,-0.24750999999999998,-0.45227,-0.4628,0.10142999999999999,0.25943,0.017003,4.4895,0.11200999999999998,0.021355000000000002
-1.385,0.16507,-2.9857,0.57513,-0.51849,-0.8407399999999999,0.1796,0.42096000000000006,0.0055405,3.0816,0.09012300000000001,0.017805
0.20457999999999998,-0.66806,0.49898000000000003,-0.54648,0.52433,0.29832,0.22883,0.39087,0.013311000000000002,3.6751,0.072588,0.013793000000000001
1.3619999999999999,-1.2389,2.2199,-0.88254,-1.4664,0.59606,0.34611,0.29543,0.007176100000000001,4.8607,0.47706000000000004,0.007456399999999999
2.1754,0.30232,0.45656,-0.39219,-1.2244,0.42085,0.1134,0.31346999999999997,0.017384,5.2029,0.26668000000000003,0.022703
-0.24153000000000002,-0.23831,-0.9862299999999999,0.27478,-0.81558,-0.073492,0.40452,0.23081999999999997,0.014722999999999998,5.7857,0.069837,0.0054912
2.9043,0.77145,-2.0673,0.077937,-0.23559000000000002,-0.030123,0.096836,0.32361,0.007679399999999999,4.6592,0.12185,0.013982
-2.4912,-0.020318,-2.7098,0.68545,-0.36286999999999997,-0.27165,0.26735,0.44011999999999996,0.0088559,4.0564,0.26299,0.01426
-1.5061,1.2145,3.0658,-0.65641,0.15461,0.17598,0.17345,0.2612,0.016847,5.2173,0.087513,0.012454
-1.4563,0.40024,-2.5469,0.020016,0.62337,-0.071466,0.036251,0.27764,0.017021,1.0,0.039706,0.031958
-0.46308999999999995,-0.18665,-1.6121,0.1592,0.40176,0.43532,0.19587000000000002,0.21129,0.014788999999999998,4.7833,0.030514999999999997,0.008234
-1.9701,1.0488,-3.0501,-0.53117,1.3726,-1.5513,0.42103999999999997,0.49458,0.0036413000000000005,4.7862,0.34938,0.0087958
1.6256,-0.48868,1.4227,0.50688,0.12376,0.2568,0.086471,0.13777,0.005742199999999999,4.6244,0.1787,0.011516
-2.0446,0.8678799999999999,-0.8634700000000001,-1.3812,-0.33865,0.35886,0.10726,0.29779,0.0098116,1.0,0.17249,0.021509999999999998
0.13572,-1.4177,2.7505,-0.057115,1.3106,0.13477,0.012879,0.20658,0.019675,0.1342,0.15203,0.19394
0.9051600000000001,-1.4231,-0.45942,-0.41913999999999996,0.29883000000000004,0.82876,0.17944000000000002,0.25866999999999996,0.014891,5.1693,0.11399000000000001,0.012438
1.4649,1.5631,-2.2507,0.29972,-0.0437,-0.44775,0.12405,0.35149,0.018065,4.2701,0.11194000000000001,0.023589
-3.0154,-1.2325,-1.4119,-0.3716,-1.0676,0.62907,0.1435,0.48732,0.0092979,3.8003,0.30749,0.023027000000000002
2.2203,0.12222999999999999,-2.7558,-0.23287,0.36811,-0.48658999999999997,0.09368,0.35785,0.019218,2.1482,0.09789400000000001,0.031529
1.8086,0.99193,-1.0201,-0.28845,-0.055718,-0.5614,0.12428,0.33421,0.013338,2.3080000000000003,0.040395,0.022817
3.0762,1.0557,-1.5804,-1.3748,-0.38805,0.21229,0.087881,0.23015,0.019997,4.8113,0.23194,0.019772
-0.028326,1.4634,-2.785,0.35524,-0.53879,0.30296,0.13716,0.23761,0.013784000000000001,4.85,0.099952,0.013647
-2.1865,0.9214,-0.44595,-0.38284,0.82247,0.33933,0.12908,0.29893000000000003,0.018325,4.9787,0.24566999999999997,0.019315
-0.8539399999999999,-1.1633,0.14942,-0.82439,0.005795600000000001,-0.94471,0.1634,0.19166,0.014195,4.6151,0.1327,0.0095305
0.50325,-1.3179,-1.3208,-0.07587,0.44201999999999997,0.9572299999999999,0.3928,0.39511,0.019721000000000002,4.6509,0.07158400000000001,0.009259299999999998
-2.3525,1.5332,0.8693200000000001,-0.25367,0.47622,-0.027892,0.10171000000000001,0.25168,0.0089847,3.4573,0.071838,0.020987000000000002
1.1374,-0.6168,-0.8380799999999999,-0.39252,0.7095,0.41147,0.27325,0.24573000000000003,0.015431,4.4956,0.078929,0.0071759
-0.071156,0.39629000000000003,2.7495,0.044102999999999996,-0.81363,-0.061907000000000004,0.05012,0.29784,0.018639,0.33205,0.081707,0.052631
-0.89441,0.6857800000000001,-2.8451,-0.8787200000000001,0.4911,0.34215,0.17315999999999998,0.47676999999999997,0.009068999999999999,2.7074,0.11433,0.02264
